"VARIANT","SEQ","FVS","FIA","PLANT"
"CS",29,"RM","316","ACRU"
"CS",30,"BE","313","ACNE2"
"CS",31,"SV","317","ACSA2"
"CS",32,"BC","762","PRSE2"
"CS",33,"AE","972","ULAM"
"CS",34,"SG","461","CELA"
"CS",35,"HK","462","CEOC"
"CS",36,"WE","971","ULAL"
"CS",37,"EL","970","ULMUS"
"CS",38,"SI","974","ULPU"
"CS",39,"RL","975","ULRU"
"CS",40,"RE","977","ULTH"
"CS",41,"YP","621","LITU"
"CS",42,"BW","951","TIAM"
"CS",43,"SM","318","ACSA3"
"CS",44,"AS","540","FRAXI"
"CS",45,"WA","541","FRAM2"
"CS",46,"GA","544","FRPE"
"CS",47,"WO","802","QUAL"
"CS",48,"RO","833","QURU"
"CS",49,"SK","812","QUFA"
"CS",50,"BO","837","QUVE"
"CS",51,"SO","806","QUCO2"
"CS",52,"BJ","824","QUMA3"
"CS",53,"CK","826","QUMU"
"CS",54,"SW","804","QUBI"
"CS",55,"BR","823","QUMA2"
"CS",56,"SN","825","QUMI"
"CS",57,"PO","835","QUST"
"CS",58,"DO","836","QUSI2"
"CS",59,"CO","832","QUPR2"
"CS",60,"PN","830","QUPA2"
"CS",61,"CB","813","QUPA5"
"CS",62,"QI","817","QUIM"
"CS",63,"OV","822","QULY"
"CS",64,"WK","827","QUNI"
"CS",65,"NK","828","QUNU"
"CS",66,"WL","831","QUPH"
"CS",67,"QS","834","QUSH"
"CS",68,"","",""
"CS",69,"SS","931","SAAL5"
"CS",70,"OB","331","AEGL"
"CS",71,"CA","450","CATAL"
"CS",72,"PS","521","DIVI5"
"CS",73,"HL","552","GLTR"
"CS",74,"BP","741","POBA2"
"CS",75,"BT","743","POGR4"
"CS",76,"QA","746","POTR5"
"CS",77,"BK","901","ROPS"
"CS",78,"","",""
"CS",79,"SY","731","PLOC"
"CS",80,"BY","221","TADI2"
"CS",81,"RB","373","BENI"
"CS",82,"SU","611","LIST2"
"CS",83,"WI","920","SALIX"
"CS",84,"BL","922","SANI"
"CS",85,"OH","998","2TB"
"CS",86,"AH","391","CACA18"
"CS",87,"RD","471","CECA4"
"CS",88,"DW","491","COFL2"
"CS",89,"HT","500","CRATA"
"CS",90,"KC","571","GYDI"
"CS",91,"OO","641","MAPO"
"CS",92,"CT","651","MAAC"
"CS",93,"MV","653","MAVI2"
"CS",94,"MB","680","MORUS"
"CS",95,"HH","701","OSVI"
"CS",96,"SD","711","OXAR"
"EC",1,"WP","119","PIMO3"
"EC",2,"WL","073","LAOC"
"EC",3,"DF","202","PSME"
"EC",4,"SF","011","ABAM"
"EC",5,"RC","242","THPL"
"EC",6,"GF","017","ABGR"
"EC",7,"LP","108","PICO"
"EC",8,"ES","093","PIEN"
"EC",9,"AF","019","ABLA"
"EC",10,"PP","122","PIPO"
"EC",11,"WH","263","TSHE"
"EC",12,"MH","264","TSME"
"EC",13,"PY","231","TABR2"
"EC",14,"WB","101","PIAL"
"EC",15,"NF","022","ABPR"
"EC",16,"WF","015","ABCO"
"EC",17,"LL","072","LALY"
"EC",18,"YC","042","CANO9"
"EC",19,"WJ","064","JUOC"
"EC",20,"BM","312","ACMA3"
"EC",21,"VN","324","ACCI"
"EC",22,"RA","351","ALRU2"
"EC",23,"PB","375","BEPA"
"EC",24,"GC","431","CHCHC4"
"EC",25,"DG","492","CONU4"
"EC",26,"AS","746","POTR5"
"EC",27,"CW","747","POBAT"
"EC",28,"WO","815","QUGA4"
"EC",29,"PL","760","PRUNU"
"EC",30,"WI","920","SALIX"
"EC",31,"OS","299","2TN"
"EC",32,"OH","998","2TB"
"EM",1,"WB","101","PIAL"
"EM",2,"WL","073","LAOC"
"EM",3,"DF","202","PSME"
"EM",4,"LM","113","PIFL2"
"EM",5,"LL","072","LALY"
"EM",6,"RM","066","JUSC2"
"EM",7,"LP","108","PICO"
"EM",8,"ES","093","PIEN"
"EM",9,"AF","019","ABLA"
"EM",10,"PP","122","PIPO"
"EM",11,"GA","544","FRPE"
"EM",12,"AS","746","POTR5"
"EM",13,"CW","747","POBAT"
"EM",14,"BA","741","POBA2"
"EM",15,"PW","745","PODEM"
"EM",16,"NC","749","POAN3"
"EM",17,"PB","375","BEPA"
"EM",18,"OS","299","2TN"
"EM",19,"OH","998","2TB"
"IE",1,"WP","119","PIMO3"
