"VARIANT","SEQ","FVS","FIA","PLANT"
"TT",4,"PM","133","PIMO"
"TT",5,"BS","096","PIPU"
"TT",6,"AS","746","POTR5"
"TT",7,"LP","108","PICO"
"TT",8,"ES","093","PIEN"
"TT",9,"AF","019","ABLA"
"TT",10,"PP","122","PIPO"
"TT",11,"UJ","065","JUOS"
"TT",12,"RM","066","JUSC2"
"TT",13,"BI","322","ACGR3"
"TT",14,"MM","321","ACGL"
"TT",15,"NC","749","POAN3"
"TT",16,"MC","475","CELE3"
"TT",17,"OS","299","2TN"
"TT",18,"OH","998","2TB"
"UT",1,"WB","101","PIAL"
"UT",2,"LM","113","PIFL2"
"UT",3,"DF","202","PSME"
"UT",4,"WF","015","ABCO"
"UT",5,"BS","096","PIPU"
"UT",6,"AS","746","POTR5"
"UT",7,"LP","108","PICO"
"UT",8,"ES","093","PIEN"
"UT",9,"AF","019","ABLA"
"UT",10,"PP","122","PIPO"
"UT",11,"PI","106","PIED"
"UT",12,"WJ","064","JUOC"
"UT",13,"GO","814","QUGA"
"UT",14,"PM","133","PIMO"
"UT",15,"RM","066","JUSC2"
"UT",16,"UJ","065","JUOS"
"UT",17,"GB","142","PILO"
"UT",18,"NC","749","POAN3"
"UT",19,"FC","748","POFR2"
"UT",20,"MC","475","CELE3"
"UT",21,"BI","322","ACGR3"
"UT",22,"BE","313","ACNE2"
"UT",23,"OS","299","2TN"
"UT",24,"OH","998","2TB"
"WC",1,"SF","011","ABAM"
"WC",2,"WF","015","ABCO"
"WC",3,"GF","017","ABGR"
"WC",4,"AF","019","ABLA"
"WC",5,"RF","020","ABMA"
"WC",6,"","",""
"WC",7,"NF","022","ABPR"
"WC",8,"YC","042","CANO9"
"WC",9,"IC","081","CADE27"
"WC",10,"ES","093","PIEN"
"WC",11,"LP","108","PICO"
"WC",12,"JP","116","PIJE"
"WC",13,"SP","117","PILA"
"WC",14,"WP","119","PIMO3"
"WC",15,"PP","122","PIPO"
"WC",16,"DF","202","PSME"
"WC",17,"RW","211","SESE3"
"WC",18,"RC","242","THPL"
"WC",19,"WH","263","TSHE"
"WC",20,"MH","264","TSME"
"WC",21,"BM","312","ACMA3"
"WC",22,"RA","351","ALRU2"
"WC",23,"WA","352","ALRH2"
"WC",24,"PB","375","BEPA"
"WC",25,"GC","431","CHCHC4"
"WC",26,"AS","746","POTR5"
"WC",27,"CW","747","POBAT"
"WC",28,"WO","815","QUGA4"
"WC",29,"WJ","064","JUOC"
"WC",30,"LL","072","LALY"
"WC",31,"WB","101","PIAL"
"WC",32,"KP","103","PIAT"
"WC",33,"PY","231","TABR2"
"WC",34,"DG","492","CONU4"
"WC",35,"HT","500","CRATA"
"WC",36,"CH","768","PREM"
"WC",37,"WI","920","SALIX"
"WC",38,"","",""
"WC",39,"OT","999","2TREE"
"WS",1,"SP","117","PILA"
"WS",2,"DF","202","PSME"
"WS",3,"WF","015","ABCO"
"WS",4,"GS","212","SEGI2"
"WS",5,"IC","081","CADE27"
"WS",6,"JP","116","PIJE"
"WS",7,"RF","020","ABMA"
"WS",8,"PP","122","PIPO"
"WS",9,"LP","108","PICO"
"WS",10,"WB","101","PIAL"
"WS",11,"WP","119","PIMO3"
"WS",12,"PM","133","PIMO"
"WS",13,"SF","011","ABAM"
"WS",14,"KP","103","PIAT"
"WS",15,"FP","104","PIBA"
"WS",16,"CP","109","PICO3"
"WS",17,"LM","113","PIFL2"
"WS",18,"MP","124","PIRA2"
"WS",19,"GP","127","PISA2"
"WS",20,"WE","137","PIWA"
"WS",21,"GB","142","PILO"
"WS",22,"BD","201","PSMA"
"WS",23,"RW","211","SESE3"
"WS",24,"MH","264","TSME"
"WS",25,"WJ","064","JUOC"
"WS",26,"UJ","065","JUOS"
"WS",27,"CJ","062","JUCA7"
"WS",28,"LO","801","QUAG"
"WS",29,"CY","805","QUCH2"
"WS",30,"BL","807","QUDO"
"WS",31,"BO","818","QUKE"
"WS",32,"VO","821","QULO"
"WS",33,"IO","839","QUWI2"
"WS",34,"TO","631","LIDE3"
"WS",35,"GC","431","CHCHC4"
"WS",36,"AS","746","POTR5"
"WS",37,"CL","981","UMCA"
"WS",38,"MA","361","ARME"
"WS",39,"DG","492","CONU4"
"WS",40,"BM","312","ACMA3"
"WS",41,"MC","475","CELE3"
"WS",42,"OS","299","2TN"
"WS",43,"OH","998","2TB"
